City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,zhangjiakou,40.81,114.8794,20.3,52,99,1.52,CN,1715304040
279,marsala,37.7966,12.4352,16.63,83,30,4.56,IT,1715304041
280,port-gentil,-0.7193,8.7815,27.06,86,100,5.98,GA,1715304041
281,governador dix sept rosado,-5.4589,-37.5208,25.9,81,61,3.93,BR,1715304042
282,seria,4.6167,114.3167,32.12,75,90,1.58,BN,1715304042
283,sittwe,20.15,92.9,27.5,67,34,2.86,MM,1715304043
284,kingston,17.997,-76.7936,29.53,74,40,6.17,JM,1715304043
285,cuitlahuac,18.8167,-96.7167,32.69,31,24,1.71,MX,1715304044
286,kudahuvadhoo,2.6708,72.8944,29.39,75,96,5.18,MV,1715304045
287,kaohsiung,22.6163,120.3133,28.05,71,75,1.54,TW,1715304046
288,maragogi,-9.0122,-35.2225,25.38,84,30,3.81,BR,1715304046
289,nchelenge,-9.3451,28.734,22.46,67,100,1.95,ZM,1715304047
290,tommot,58.9564,126.2925,3.78,56,98,1.79,RU,1715304047
291,solnechnyy,50.7214,136.6319,8.35,34,16,2.44,RU,1715304048
292,saipan,15.1355,145.701,33.39,62,40,7.2,MP,1715304049
293,nacogdoches,31.6002,-94.6335,26.92,97,40,1.54,US,1715304050
294,tierp,60.3427,17.5181,6.9,80,11,4.17,SE,1715304050
295,sur,22.5667,59.5289,31.69,52,0,1.94,OM,1715304051
296,torghay,49.6339,63.4981,7.26,59,88,3.87,KZ,1715304051
297,maydanshakhr,34.3956,68.8662,12.34,74,85,1.93,AF,1715304052
298,berezovyy,51.6667,135.7,12.77,32,5,1.46,RU,1715304052
299,saudarkrokur,65.7461,-19.6394,4.76,59,94,1.36,IS,1715304053
300,totness,5.8833,-56.3167,26.8,84,100,6.09,SR,1715304053
301,ndende,-2.4008,11.3581,23.77,96,100,0.94,GA,1715304054
302,hit,33.6416,42.8251,23.65,29,77,3.52,IQ,1715304054
303,manokwari,-0.8667,134.0833,28.55,77,97,3.62,ID,1715304055
304,hithadhoo,-0.6,73.0833,29.06,76,11,4.27,MV,1715304055
305,saynshand,44.8824,110.1163,6.98,44,99,14.76,MN,1715304056
306,marshfield,44.6689,-90.1718,13.49,76,100,0.0,US,1715304057
307,belle fourche,44.6714,-103.8522,15.73,76,100,2.08,US,1715304057
308,bardai,11.65,7.2333,28.83,48,100,3.96,NG,1715304058
309,usinsk,65.9939,57.5281,-1.07,97,100,1.34,RU,1715304058
310,glace bay,46.1969,-59.957,3.77,97,100,5.14,CA,1715304059
311,lensk,60.7253,114.9278,3.74,58,100,1.89,RU,1715304060
312,varena,54.2167,24.5667,6.29,97,98,2.48,LT,1715304060
313,belaya kholunitsa,58.84,50.8528,-2.16,94,100,4.51,RU,1715304061
314,malango,-2.9627,119.9001,25.42,68,8,1.48,ID,1715304061
315,acarau,-2.8856,-40.12,26.58,87,100,3.74,BR,1715303831
316,al qusayr,34.5091,36.5798,19.65,25,1,1.85,SY,1715304062
317,igarka,67.4667,86.5833,-0.55,99,83,5.81,RU,1715304063
318,loushanguan,28.1375,106.82,17.63,96,100,1.77,CN,1715304063
319,jayapura,-2.5333,140.7,24.66,88,100,1.42,ID,1715304064
320,rambha,19.5167,85.1,28.81,77,1,5.09,IN,1715304064
321,bitkine,11.9801,18.2138,31.14,15,100,1.03,TD,1715304065
322,evanston,42.0411,-87.6901,12.29,88,100,5.66,US,1715304065
323,apolinario saravia,-24.4328,-63.9954,12.72,71,50,1.77,AR,1715304066
324,kupang,-10.1667,123.5833,32.32,70,20,6.69,ID,1715304067
325,kiruna,67.8557,20.2251,-1.49,74,75,4.63,SE,1715304068
326,gunjur,13.2019,-16.7339,24.04,88,0,2.57,GM,1715304068
327,lobujya,27.95,86.8167,-6.58,70,87,4.59,NP,1715304070
328,constantia,44.1833,28.65,9.38,80,38,5.8,RO,1715304071
329,anadyr,64.75,177.4833,-3.72,68,75,2.0,RU,1715304071
330,luwuk,-0.9516,122.7875,27.06,72,98,2.27,ID,1715304072
331,port blair,11.6667,92.75,30.03,71,43,1.74,IN,1715304072
332,fig tree,-33.0317,148.7511,17.97,63,100,6.41,AU,1715304073
333,aripuana,-9.1667,-60.6333,23.95,72,100,0.97,BR,1715304073
334,santa luzia,-19.7697,-43.8514,22.5,73,0,2.57,BR,1715304074
335,monrovia,6.3005,-10.7969,25.87,85,100,2.48,LR,1715304075
336,dongkan,33.9997,119.8308,19.65,59,0,5.69,CN,1715304075
337,maridi,4.9158,29.4742,20.29,92,83,2.65,SS,1715304076
338,baskale,38.0453,44.0172,4.2,83,100,0.12,TR,1715304077
339,duobao,30.67,112.6895,22.26,67,100,5.78,CN,1715304077
340,broken hill,-31.95,141.4333,16.43,70,58,4.68,AU,1715304078
341,touros,-5.1989,-35.4608,25.57,91,45,4.13,BR,1715304078
342,necochea,-38.5473,-58.7368,9.13,52,74,3.95,AR,1715304079
343,tangalle,6.024,80.7911,26.25,89,100,1.56,LK,1715304079
344,ngetkib,7.3645,134.5148,25.14,94,100,3.09,PW,1715304080
345,novoishimskiy,53.1981,66.7694,6.43,72,0,1.69,KZ,1715304080
346,vernon,50.2581,-119.2691,25.34,25,12,1.79,CA,1715304074
347,arafat,21.3594,39.9664,29.49,46,0,1.24,SA,1715304081
348,pontes e lacerda,-15.2261,-59.3353,24.02,62,0,0.96,BR,1715304082
349,morondava,-20.2833,44.2833,21.61,81,0,3.79,MG,1715304082
350,och'amch'ire,42.7123,41.4686,14.02,50,100,0.59,GE,1715304083
351,arteche,12.2645,125.4048,29.0,68,100,3.09,PH,1715304083
352,tianshui,34.5439,105.6897,16.36,75,100,0.62,CN,1715304084
353,salinas,36.6777,-121.6555,25.31,58,0,7.2,US,1715303881
354,takoradi,4.8845,-1.7554,27.98,83,100,3.52,GH,1715304085
355,lihue,21.9789,-159.3672,26.58,67,20,3.6,US,1715304085
356,qingdao,36.0986,120.3719,19.78,60,0,7.0,CN,1715304086
357,kralendijk,12.15,-68.2667,27.99,83,20,5.66,BQ,1715304086
358,oriximina,-1.7656,-55.8661,25.63,93,100,2.06,BR,1715304087
359,al bardiyah,31.7561,25.0865,18.43,80,0,7.66,LY,1715304087
360,kalamaria,40.5825,22.9503,17.39,87,100,3.6,GR,1715304088
361,norderney,53.7,7.15,10.57,82,13,3.43,DE,1715304088
362,minggang,32.4586,114.0486,23.3,56,5,6.58,CN,1715304089
